uc008jxs.1	79	1155
uc009fyo.2	1048	4023
uc009ktx.2	187	1182
uc007ehm.2	332	4173
uc008qjj.2	157	1143
uc009hhv.2	141	1260
uc009ncv.1	2471	1746
uc008vzi.3	69	3216
uc007rns.2	169	783
uc009oix.1	749	1386
uc007nif.2	235	1476
uc008rlq.1	608	444
uc008nip.1	140	1422
uc008nin.2	101	1389
uc008niw.1	118	1425
uc009mlv.2	254	2892
uc008nio.2	146	1350
uc008niy.2	43	1473
uc012cgs.1	40	1854
uc009dum.1	448	2364
uc012arn.2	200	4821
uc007xha.2	40	5193
uc009kqe.2	400	4419
uc012fjo.1	76	6504
uc007lis.1	43	1464
uc009kmw.2	220	1188
uc009jba.1	213	1476
uc057cfz.1	40	3888
uc033gpj.1	856	555
uc007pxb.2	54	687
uc009dor.1	98	4431
uc008txd.2	248	1587
uc007csj.1	381	1269
uc009gph.2	237	1764
uc008ehy.1	248	1278
uc009exy.1	256	1161
uc008qtc.2	331	1281
uc012bin.1	393	1704
uc008epc.3	122	2814
uc009tfr.1	88	468
uc033hdn.1	441	432
uc009lco.1	89	1845
uc008czu.1	209	891
uc007fjr.1	285	867
uc007wiq.2	92	2214
uc007bnr.1	600	1224
uc009ijs.1	260	816
uc007cdc.2	69	873
uc007pow.1	111	348
uc007puz.2	49	642
uc007mab.2	93	339
uc007mjp.2	72	2433
uc009vif.2	467	699
uc008ero.1	40	2067
uc008svb.2	1444	2211
uc009dnq.1	65	963
uc008rxv.1	87	876
uc009juq.1	40	1101
uc012glv.2	241	1488
uc007mhb.1	325	1692
uc009rox.2	511	2682
uc009eup.1	379	963
uc009dmj.2	192	1203
uc007lir.2	40	1686
uc007vmm.2	90	300
uc007vls.2	335	1089
uc007yme.1	97	1701
uc008vut.2	41	2664
uc008oaf.2	107	891
uc009gjl.2	126	1080
uc009ftd.2	44	423
uc011wjd.1	40	639
uc011zep.2	839	1908
uc007yhx.1	40	807
uc009awp.2	163	2031
uc008kan.1	40	2034
uc007gyv.2	81	1494
uc007jvc.1	40	606
uc007ykc.2	73	666
uc007jvr.2	177	945
uc007ufr.1	977	3774
uc008nkt.1	64	501
uc007ttd.1	55	339
uc008dpk.1	40	3159
uc007tsg.1	40	477
uc007grw.1	147	546
uc007rab.2	102	2118
uc008ddr.2	108	2247
uc009hzi.2	201	1938
uc008oqq.1	88	786
uc011zjg.1	108	438
uc008qnl.2	40	525
uc009gmk.1	490	2520
uc008amr.1	133	5463
uc009kdc.2	138	3723
uc007lei.1	160	3240
uc009gnd.2	272	2208
uc009tfi.1	127	711
uc008ddk.1	114	1644
uc008tmp.1	312	1710
uc029tij.2	56	693
uc012doq.1	77	1410
uc007xtu.1	66	1665
uc008lue.2	40	2148
uc008hll.1	477	1374
uc009giz.1	413	3180
uc012hlr.1	125	2442
uc008vqd.1	757	1443
uc012hjm.1	40	1053
uc007hvs.1	178	612
uc008rmm.1	158	321
uc009gsx.2	108	906
uc009pld.1	300	753
uc007fqm.1	105	381
uc007cre.1	102	477
uc007gww.2	324	516
uc012efe.1	438	1515
uc057bvu.1	459	1515
uc009aei.1	459	1515
uc009uai.1	179	933
uc009rtz.2	54	504
uc008bdq.1	912	798
uc009mmg.1	40	3306
uc008uhq.1	58	3567
uc009qdq.1	605	1953
uc009nsp.2	73	579
uc033for.1	338	348
uc008nwi.1	663	1368
uc008kif.1	48	1896
uc008nwh.1	163	2088
uc008vof.2	55	2064
uc008kec.1	99	435
uc007tnk.2	172	1116
uc008noh.2	158	762
uc009mys.2	262	1215
uc009lji.1	45	891
uc008kew.3	3801	1995
uc029xgw.1	132	1374
uc008epd.2	40	2841
uc008ngc.2	121	1185
uc009jub.1	60	1434
uc007kpx.2	180	1677
uc007mhy.2	49	2157
uc008tgz.1	120	333
uc007ybz.1	40	1008
uc007ldk.2	104	1278
uc012anl.1	316	1440
uc007pfa.2	123	1263
uc012gde.2	349	3645
uc012dpx.2	1424	2403
uc008qgb.1	198	1857
uc007gey.3	145	1770
uc008shb.2	1310	1821
uc009pth.2	568	1863
uc008zgu.2	998	2226
uc008obo.2	94	3093
uc009gkj.1	132	3246
uc012ddz.1	108	1089
uc008qvs.1	41	741
uc007pnw.1	196	1275
uc007cir.1	1162	1236
uc007hjj.2	148	1059
uc008sqs.1	40	492
uc007gzh.2	664	1266
uc012ftu.1	40	1314
uc007etg.1	40	498
uc008gmn.2	50	261
uc007fyw.1	273	1512
uc011wof.1	154	810
uc033hza.1	2187	714
uc007ala.2	71	486
uc007rvy.1	168	1656
uc007fvv.1	115	2313
uc007aky.1	57	477
uc008fck.1	280	369
uc012gmc.1	40	582
uc008wmr.1	166	639
uc012dsi.1	69	768
uc008wte.1	40	804
uc008wtp.2	40	804
uc008wmt.2	69	771
uc007rkp.2	79	840
uc007qqv.3	40	1794
uc007ubf.2	104	783
uc008oll.1	399	1524
uc008saw.3	534	1815
uc007met.1	108	561
uc008sze.1	228	5523
uc012dvy.1	60	699
uc009ked.1	151	681
uc007upt.1	145	801
uc008pid.2	172	753
uc008qxa.1	40	1887
uc009soj.3	184	1386
uc009qqa.2	207	1164
uc009gyo.2	1210	1536
uc007hap.1	64	1920
uc057agz.1	40	2277
uc007dcv.2	746	1275
uc008jhm.2	289	1758
uc011yjm.1	524	735
uc007iyk.2	112	681
uc007yga.2	218	3243
uc009cwx.1	40	840
